model,nodes_list,hidden_layers,activation_function,learning_rate,batch_norm,initializer_name,optimizer_name,batch_size,clipnorm,train_loss,val_loss,epochs,train_time,min_val_loss,min_train_loss
,,3,elu,0.005,TRUE,he_avg_uniform,Adam,50,FALSE,,,8,,1038.778564,
model_1,"[5000, 2500, 1250]",3,elu,0.001,FALSE,he_uniform,Adam,100,FALSE,"[1602.5225830078125, 1011.1214599609375, 886.0538330078125, 827.8106689453125, 780.2257080078125]","[1164.03125, 1040.923583984375, 1073.0306396484375, 1073.3275146484375, 1147.764404296875]",5,1702.71878,1040.923584,780.225708
model_30_2,"[1000, 500, 250, 125, 75, 25]",6,elu,0.001,FALSE,he_avg_uniform,Adam,28,FALSE,"[1252.858154296875, 1027.103759765625, 904.932373046875, 926.6793823242188, 780.5951538085938, 11778.26953125, 704.3767700195312]","[1105.0462646484375, 1043.1614990234375, 1073.7138671875, 1142.2681884765625, 1095.9288330078125, 1130.9307861328125, 1096.7171630859375]",7,2400.628286,1043.161499,704.37677
model_0,"[1000, 500]",2,elu,0.001,FALSE,he_normal,RMSprop,100,FALSE,"[1368.7398681640625, 1011.0569458007812, 911.5606079101562, 858.603515625, 824.6364135742188, 791.2367553710938, 776.302490234375, 760.5073852539062]","[1067.994873046875, 1261.748046875, 1047.6883544921875, 1099.8646240234375, 1045.440185546875, 1076.0333251953125, 1127.3287353515625, 1096.41064453125]",8,390.6291571,1045.440186,760.5073853
,,5,elu,0.0005,TRUE,he_avg_uniform,Adam,50,FALSE,,,8,,1046.557129,
model_31_2,"[1000, 500, 250, 125, 75, 25]",6,elu,0.001,FALSE,he_avg_uniform,Adam,50,FALSE,"[1257.49755859375, 997.5045166015625, 906.3685913085938, 830.7750854492188, 767.9176635742188, 724.2141723632812]","[1050.1744384765625, 1111.4530029296875, 1140.7314453125, 1200.4425048828125, 1100.9661865234375, 1130.5107421875]",6,1651.45189,1050.174438,724.2141724
,,5,elu,0.005,FALSE,FALSE,Adam,50,FALSE,,,8,,1050.50708,
,,5,elu,0.001,TRUE,he_avg_normal,Adam,28,FALSE,,,8,,1052.18042,
,,4,elu,0.01,FALSE,FALSE,Adam,50,FALSE,,,8,,1069.827637,
,,9,elu,0.0005,TRUE,he_avg_normal,Adam,50,FALSE,,,8,,1070.713867,
model_1,"[85,45,65,26,26,16,1]",2,elu,0.0005,FALSE,,,50,FALSE,,,3,,1071.675415,
model_30_2,"[1000, 500, 250, 125, 75, 25]",6,elu,0.001,FALSE,he_avg_uniform,Adam,28,FALSE,"[1260.627197265625, 1052.5792236328125, 943.6360473632812, 1173.4603271484375, 1221.2589111328125, 775.0977783203125, 728.3794555664062, 1761.228515625, 658.2086791992188, 4037.337158203125]","[1200.603515625, 1088.181640625, 1075.15625, 1295.4775390625, 1119.7041015625, 1074.86181640625, 1160.4688720703125, 1135.3555908203125, 1128.6661376953125, 1124.0946044921875]",10,4693.70237,1074.861816,658.2086792
,,9,elu,0.0005,TRUE,he_avg_normal,Adam,28,FALSE,,,8,,1081.435547,
,,2,elu,0.0005,FALSE,FALSE,Adam,50,FALSE,,,8,,1082.827271,
model_0,"[1000, 500, 250]",3,elu,0.001,FALSE,he_normal,Adam,500,FALSE,"[1295.72021484375, 964.13330078125, 832.9560546875, 755.144775390625, 688.423828125, 649.5518188476562]","[1123.790283203125, 1466.186279296875, 1085.575927734375, 1087.027099609375, 1113.92919921875, 1149.37353515625]",6,138.2288992,1085.575928,649.5518188
model_6,"[1000, 500]",2,sigmoid,0.01,TRUE,untruncated_normal,RMSprop,100,FALSE,"[1332.4869384765625, 1085.63134765625, 969.6508178710938, 899.473388671875, 834.3257446289062, 800.4940795898438, 760.8192138671875, 728.622314453125, 699.1492309570312, 671.2786254882812, 652.6943969726562, 630.026611328125, 611.7203369140625]","[1331.0672607421875, 1314.056884765625, 1169.7315673828125, 1216.646240234375, 1106.428955078125, 1145.30517578125, 1135.86181640625, 1087.4337158203125, 1120.8541259765625, 1209.8551025390625, 1144.5257568359375, 1097.675048828125, 1179.6912841796875]",13,714.5477335,1087.433716,611.7203369
,,3,elu,0.0005,TRUE,he_avg_normal,Adam,50,FALSE,,,8,,1088.098755,
,,2,elu,0.01,TRUE,he_avg_uniform,Adam,50,FALSE,,,8,,1089.546143,
model_2,"[85,45,65,26,26,16,1]",2,elu,0.0005,FALSE,,,50,FALSE,,,8,,1090.224487,
,,3,elu,0.0005,TRUE,he_avg_normal,Adam,50,FALSE,,,8,,1092.599976,
,,5,elu,0.0005,TRUE,he_avg_uniform,Adam,28,FALSE,,,8,,1092.612793,
,,2,elu,0.0005,FALSE,FALSE,Adam,50,FALSE,,,8,,1096.257568,
,,8,elu,0.005,TRUE,he_avg_normal,Adam,50,FALSE,,,8,,1113.101196,
model_3,"[80,55,70,36,,46,6,26]",5,sigmoid,0.005,FALSE,,,50,FALSE,,,3,,1116.056885,
model_4,"[80,55,70,36,46,6,26]",5,sigmoid,0.005,FALSE,,,50,FALSE,,,8,,1117.071045,
,,5,sigmoid,0.005,FALSE,FALSE,Adam,50,FALSE,,,8,,1120.671997,
model_5,"[75,60,70,56,46,31,6,1]",5,elu,0.005,FALSE,,,50,FALSE,,,8,,1123.869507,
,,5,sigmoid,0.005,FALSE,FALSE,Adam,50,FALSE,,,8,,1127.771362,
,,8,elu,0.0001,FALSE,FALSE,Adam,50,FALSE,,,8,,1128.410645,
,,7,elu,0.0001,TRUE,he_avg_normal,Adam,50,FALSE,,,8,,1131.407349,
,,6,elu,0.005,TRUE,he_avg_normal,Adam,28,FALSE,,,8,,1141.524902,
,,6,elu,0.01,TRUE,he_avg_normal,Adam,28,FALSE,,,8,,1157.937866,
,,3,elu,0.0005,TRUE,he_avg_normal,Adam,28,FALSE,,,8,,1159.191406,
model_10,"[1000, 500, 250, 125, 75, 25]",6,tanh,0.001,FALSE,glorot_uniform,RMSprop,28,FALSE,"[1871.139404296875, 1465.010009765625, 1322.0762939453125, 1245.4990234375, 1213.2734375, 1163.417236328125, 1108.0252685546875, 1082.92919921875, 1040.184814453125, 1004.7733764648438, 1016.8070678710938, 1006.813232421875, 980.2134399414062, 964.9712524414062, 966.7048950195312]","[1505.2025146484375, 1295.20849609375, 1224.8505859375, 1260.593017578125, 1196.7613525390625, 1169.774658203125, 1265.61767578125, 1165.5185546875, 1170.7391357421875, 1159.5458984375, 1195.613037109375, 1302.6766357421875, 1191.6619873046875, 1187.478271484375, 1236.212646484375]",15,2357.285222,1159.545898,964.9712524
model_6,"[95,55,25,56,41,11,21,16]",4,elu,0.01,FALSE,,,50,FALSE,,,8,,1164.553101,
model_4,"[1000, 500, 250, 125, 75, 25]",6,elu,0.001,TRUE,he_uniform,plain SGD,28,FALSE,"[1534.87939453125, 1329.846923828125, 1177.0816650390625, 1078.4219970703125, 1048.1025390625, 973.4710693359375, 954.05810546875, 916.0614624023438, 884.9086303710938, 849.44970703125, 815.9229125976562, 779.0697631835938, 775.5238647460938, 751.0842895507812, 735.2234497070312, 730.741455078125, 720.7022094726562]","[1631.0390625, 1513.9034423828125, 1573.9454345703125, 1527.5281982421875, 1633.8975830078125, 1562.7926025390625, 1453.6627197265625, 1413.895263671875, 1479.9114990234375, 1364.94189453125, 1198.7894287109375, 1171.2587890625, 1260.59912109375, 1232.0350341796875, 1332.805419921875, 1377.056884765625, 1389.1402587890625]",17,1735.611997,1171.258789,720.7022095
,,3,sigmoid,0.01,FALSE,FALSE,Adam,50,FALSE,,,8,,1177.24292,
model_7,"[75,40,35,56,26,31,11,6]",3,sigmoid,0.01,FALSE,,,50,FALSE,,,8,,1186.756592,
model_25,"[5000, 2500, 1250]",3,sigmoid,0.001,TRUE,uniform,Adam,28,FALSE,"[1442.9332275390625, 1184.7802734375, 1069.945556640625, 997.928466796875, 938.9994506835938, 890.3123779296875, 856.1708374023438, 825.2862548828125, 790.1158447265625, 772.201171875, 747.8278198242188, 724.80322265625, 703.3848266601562, 687.7465209960938, 671.4527587890625]","[1375.9791259765625, 1348.708740234375, 1375.2530517578125, 1349.705810546875, 1316.962646484375, 1351.0521240234375, 1251.4813232421875, 1506.44091796875, 1248.63818359375, 1351.8941650390625, 1414.424560546875, 1238.8447265625, 1268.365478515625, 1216.607177734375, 1207.951904296875]",15,15661.73179,1207.951904,671.4527588
